交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2021/3/25,TXO,202103W5,15600,賣權,45,45,13,17.5,16806,17.5,9181,17.5,20,56,13,,一般
2021/3/25,TXO,202103W5,15600,賣權,34.5,56,25.5,56,6360,-,-,55,56,56,25,,盤後
2021/3/25,TXO,202103W5,15650,買權,330,463,328,458,29,427,6,425,444,463,328,,一般
2021/3/25,TXO,202103W5,15650,賣權,53,54,17,22,8887,22,3557,20.5,22,54,17,,一般
2021/3/25,TXO,202103W5,15700,買權,297,415,287,381,663,381,145,382,399,437,287,,一般
2021/3/25,TXO,202103W5,15700,買權,356,394,338,338,243,-,-,258,405,437,338,,盤後
2021/3/25,TXO,202103W5,15700,賣權,66,69,20.5,28,15690,28,9359,27,27.5,77,20.5,,一般
2021/3/25,TXO,202103W5,15700,賣權,49.5,77,38,77,5847,-,-,77,79,77,30,,盤後
2021/3/25,TXO,202103W5,15750,買權,283,388,250,340,596,340,216,338,435,388,250,,一般
2021/3/25,TXO,202103W5,15750,買權,315,347,283,283,242,-,-,242,429,370,283,,盤後
2021/3/25,TXO,202103W5,15750,賣權,75,79,27,34,10026,34,4827,33.5,34,87,27,,一般
2021/3/25,TXO,202103W5,15750,賣權,59,87,45,87,3486,-,-,84,87,87,43.5,,盤後
2021/3/25,TXO,202103W5,15800,買權,216,349,210,305,1517,297,955,296,308,368,210,,一般
2021/3/25,TXO,202103W5,15800,買權,281,318,211,211,320,-,-,208,238,368,211,,盤後
2021/3/25,TXO,202103W5,15800,賣權,94,94,32,42,16366,42,5249,41.5,42,107,32,,一般
2021/3/25,TXO,202103W5,15800,賣權,68,107,54,104,5042,-,-,104,106,107,41,,盤後
2021/3/25,TXO,202103W5,15850,買權,184,305,178,261,1287,261,242,258,266,305,170,,一般
2021/3/25,TXO,202103W5,15850,買權,242,279,170,184,82,-,-,180,225,295,170,,盤後
2021/3/25,TXO,202103W5,15850,賣權,110,110,41,52,12500,52,3096,51,53,125,41,,一般
2021/3/25,TXO,202103W5,15850,賣權,85,125,64,125,3123,-,-,124,125,125,62,,盤後
2021/3/25,TXO,202103W5,15900,買權,155,268,144,227,3233,223,1006,223,235,274,144,,一般
2021/3/25,TXO,202103W5,15900,買權,206,234,150,151,1764,-,-,150,162,274,150,,盤後
2021/3/25,TXO,202103W5,15900,賣權,129,133,50,63,18468,63,3908,63,65,146,50,,一般
2021/3/25,TXO,202103W5,15900,賣權,95,146,77,146,4522,-,-,143,146,146,63,,盤後
2021/3/25,TXO,202103W5,15950,買權,120,232,117,190,6252,190,1206,190,193,239,113,,一般
2021/3/25,TXO,202103W5,15950,買權,176,208,113,132,1045,-,-,130,132,239,113,,盤後
2021/3/25,TXO,202103W5,15950,賣權,154,154,62,76,11087,76,3100,76,79,171,62,,一般
2021/3/25,TXO,202103W5,15950,賣權,114,171,92,170,4077,-,-,167,175,171,87,,盤後
2021/3/25,TXO,202103W5,16000,買權,95,194,95,159,14955,159,2859,158,160,205,95,,一般
2021/3/25,TXO,202103W5,16000,買權,143,172,105,105,4302,-,-,105,106,205,105,,盤後
2021/3/25,TXO,202103W5,16000,賣權,178,181,77,95,13963,96,3999,94,96,200,77,,一般
2021/3/25,TXO,202103W5,16000,賣權,129,200,104,200,5385,-,-,195,200,200,103,,盤後
2021/3/25,TXO,202103W5,16050,買權,88,161,73,128,15666,128,3545,128,129,175,73,,一般
2021/3/25,TXO,202103W5,16050,買權,120,142,83,84,4470,-,-,82,85,175,83,,盤後
2021/3/25,TXO,202103W5,16050,賣權,210,211,92,116,7286,115,1619,113,115,228,92,,一般
2021/3/25,TXO,202103W5,16050,賣權,155,228,125,228,2360,-,-,228,257,228,121,,盤後
2021/3/25,TXO,202103W5,16100,買權,62,131,56,102,19825,102,4452,102,103,146,56,,一般
2021/3/25,TXO,202103W5,16100,買權,99,115,60,61,6079,-,-,61,62,146,60,,盤後
2021/3/25,TXO,202103W5,16100,賣權,211,240,111,138,6440,139,1189,136,139,255,111,,一般
2021/3/25,TXO,202103W5,16100,賣權,183,255,150,255,2534,-,-,243,260,255,143,,盤後
2021/3/25,TXO,202103W5,16150,買權,47,104,41,79,14805,79,3864,78,79,120,41,,一般
2021/3/25,TXO,202103W5,16150,買權,76,91,42,45,4805,-,-,44,45,120,42,,盤後
2021/3/25,TXO,202103W5,16150,賣權,258,274,134,165,2333,167,452,163,167,285,134,,一般
2021/3/25,TXO,202103W5,16150,賣權,215,285,178,285,727,-,-,266,294,285,169,,盤後
2021/3/25,TXO,202103W5,16200,買權,34.5,80,29,58,22818,58,6254,58,59,97,29,,一般
2021/3/25,TXO,202103W5,16200,買權,58,70,31.5,34,6549,-,-,33,34,97,31.5,,盤後
2021/3/25,TXO,202103W5,16200,賣權,253,311,162,195,1907,196,433,194,196,315,162,,一般
2021/3/25,TXO,202103W5,16200,賣權,245,315,209,315,575,-,-,313,333,315,196,,盤後
2021/3/25,TXO,202103W5,16250,買權,24,61,20,42,14917,42,5691,42,43,76,20,,一般
2021/3/25,TXO,202103W5,16250,買權,42,53,21,22,5081,-,-,21,22,76,21,,盤後
2021/3/25,TXO,202103W5,16250,賣權,336,354,197,230,488,237,132,225,238,354,197,,一般
2021/3/25,TXO,202103W5,16250,賣權,288,351,239,351,166,-,-,340,374,351,232,,盤後
2021/3/25,TXO,202103W5,16300,買權,17.5,43.5,13.5,30,18379,30,8303,28.5,30,59,13.5,,一般
2021/3/25,TXO,202103W5,16300,買權,30.5,38,16.5,16.5,5077,-,-,16.5,17,59,16.5,,盤後
2021/3/25,TXO,202103W5,16300,賣權,377,386,228,270,618,270,154,265,276,386,228,,一般
2021/3/25,TXO,202103W5,16300,賣權,317,350,283,350,286,-,-,313,600,350,259,,盤後
2021/3/25,TXO,202103W5,16350,買權,9,31,8.5,19.5,13511,19.5,8056,19.5,20.5,44,8.5,,一般
2021/3/25,TXO,202103W5,16350,買權,20.5,27,12,13,5400,-,-,12.5,13,44,12,,盤後
2021/3/25,TXO,202103W5,16350,賣權,421,435,269,312,403,312,115,250,317,435,269,,一般
2021/3/25,TXO,202103W5,16350,賣權,359,360,334,350,183,-,-,350,700,381,310,,盤後
2021/3/25,TXO,202103W5,16400,買權,7,21,5.6,13.5,11298,13.5,9122,12,14,37,5.6,,一般
2021/3/25,TXO,202103W5,16400,買權,15,18,7,7.5,3898,-,-,7.3,8,37,7,,盤後
2021/3/25,TXO,202103W5,16400,賣權,465,477,316,350,378,358,108,341,360,477,316,,一般
2021/3/25,TXO,202103W5,16400,賣權,380,398,367,389,134,-,-,369,720,420,347,,盤後
2021/3/25,TXO,202103W5,16450,買權,5.5,13.5,3.5,8.3,5286,8.3,4852,7.5,9,34,3.5,,一般
2021/3/25,TXO,202103W5,16450,買權,10,12,6.9,7,3789,-,-,6.8,7.2,34,6.9,,盤後
2021/3/25,TXO,202103W5,16450,賣權,505,525,356,441,70,403,16,371,406,555,356,,一般
